HOUSEID,HHFAMINC,HHSIZE,LIF_CYC,CENSUS_R,URBAN,VEHID,DRVRCNT,MAKE,HH_RACE,WRKCOUNT,HOMEOWN,URBANSIZE,VEHYEAR
30000007,7,3,10,3,1,1,3,49,2,1,1,1,2007
30000007,7,3,10,3,1,2,3,49,2,1,1,1,2004
30000007,7,3,10,3,1,3,3,19,2,1,1,1,1998
30000007,7,3,10,3,1,4,3,19,2,1,1,1,1997
30000007,7,3,10,3,1,5,3,20,2,1,1,1,1993
30000008,8,2,2,2,4,1,2,20,1,2,1,6,2014
30000008,8,2,2,2,4,2,2,20,1,2,1,6,2010
30000008,8,2,2,2,4,3,2,20,1,2,1,6,2008
30000008,8,2,2,2,4,4,2,20,1,2,1,6,2004
30000012,10,1,1,1,1,1,1,58,1,1,1,3,2011
30000012,10,1,1,1,1,2,1,12,1,1,1,3,2004
30000019,3,2,2,3,1,1,2,37,1,0,1,1,2006
30000019,3,2,2,3,1,2,2,21,1,0,1,1,1997
30000029,5,2,10,2,1,1,2,49,1,0,1,2,2016
30000029,5,2,10,2,1,2,2,20,1,0,1,2,2006
30000039,10,2,2,1,1,1,2,59,1,1,1,3,2016
30000039,10,2,2,1,1,2,2,19,1,1,1,3,2011
30000041,11,2,2,4,1,1,2,49,1,2,1,2,2016
30000041,11,2,2,4,1,2,2,49,1,2,1,2,2011
30000062,10,2,10,3,4,1,2,35,1,1,1,6,2014
30000062,10,2,10,3,4,2,2,49,1,1,1,6,2012
30000062,10,2,10,3,4,3,2,49,1,1,1,6,2011
30000062,10,2,10,3,4,4,2,49,1,1,1,6,2006
30000062,10,2,10,3,4,5,2,49,1,1,1,6,2003
30000062,10,2,10,3,4,6,2,12,1,1,1,6,2000
30000082,8,4,4,1,1,1,2,41,1,2,2,3,2011
30000082,8,4,4,1,1,2,2,49,1,2,2,3,2007
30000085,9,1,1,4,1,1,1,49,97,1,1,4,2004
30000085,9,1,1,4,1,2,1,2,97,1,1,4,2004
30000089,7,4,4,3,4,1,2,12,1,2,1,6,2014
30000089,7,4,4,3,4,2,2,12,1,2,1,6,2012
30000094,4,1,1,4,1,1,1,37,1,1,2,1,2009
30000095,6,1,9,2,1,1,1,48,1,0,1,2,2009
30000107,8,2,2,3,1,1,2,20,1,0,1,4,2006
30000107,8,2,2,3,1,2,2,20,1,0,1,4,2004
30000107,8,2,2,3,1,3,2,20,1,0,1,4,2000
30000128,1,2,2,1,1,1,2,6,1,0,2,1,2006
30000128,1,2,2,1,1,2,2,12,1,0,2,1,2001
30000130,5,2,2,1,1,1,2,49,1,2,1,5,2013
30000137,6,3,2,2,1,1,3,49,3,3,1,2,2013
30000137,6,3,2,2,1,2,3,49,3,3,1,2,2006
30000137,6,3,2,2,1,3,3,49,3,3,1,2,2005
30000145,7,2,2,3,1,1,2,12,6,2,2,2,2016
30000145,7,2,2,3,1,2,2,7,6,2,2,2,2002
30000155,-7,1,1,4,1,1,1,37,1,1,1,5,2013
30000155,-7,1,1,4,1,2,1,37,1,1,1,5,1994
30000161,7,3,10,3,1,1,2,20,1,0,1,4,2010
30000161,7,3,10,3,1,2,2,12,1,0,1,4,2008
30000194,1,6,6,4,1,1,3,48,1,2,1,2,2000
30000194,1,6,6,4,1,2,3,12,1,2,1,2,1996
30000194,1,6,6,4,1,3,3,35,1,2,1,2,1998
30000227,6,2,10,4,1,1,1,49,1,0,1,4,2013
30000227,6,2,10,4,1,2,1,7,1,0,1,4,2004
30000230,1,1,1,3,4,1,1,37,1,1,2,6,2006
30000242,-7,1,9,3,4,1,1,12,1,0,2,6,1994
30000262,6,2,10,3,1,1,2,12,1,1,1,3,2010
30000262,6,2,10,3,1,2,2,12,1,1,1,3,1985
30000265,5,1,1,3,4,1,1,55,1,1,2,6,2008
30000265,5,1,1,3,4,2,1,41,1,1,2,6,2008
30000271,4,1,9,2,1,1,1,20,1,0,1,4,2015
30000288,5,1,9,3,1,1,1,49,1,0,1,2,2010
30000288,5,1,9,3,1,2,1,XX,1,0,1,2,2003
30000289,7,3,8,3,1,1,2,12,1,1,2,2,2012
30000289,7,3,8,3,1,2,2,2,1,1,2,2,2004
